ds,y,predict
2021-09-23,504.29998779296875,1.0
2021-09-24,504.9200134277344,1.0
2021-09-27,504.8500061035156,1.0
2021-09-28,491.0199890136719,1.0
2021-09-29,489.4800109863281,1.0
2021-09-30,484.92999267578125,1.0
2021-10-01,487.3500061035156,1.0
2021-10-04,475.95001220703125,1.0
2021-10-05,485.4200134277344,1.0
2021-10-06,488.7799987792969,1.0
2021-10-07,493.9200134277344,1.0
2021-10-08,492.8500061035156,1.0
2021-10-11,492.3399963378906,1.0
2021-10-12,485.2799987792969,1.0
2021-10-13,485.010009765625,1.0
2021-10-14,497.6000061035156,1.0
2021-10-15,503.25,1.0
2021-10-18,503.3599853515625,1.0
2021-10-19,510.3900146484375,1.0
2021-10-20,509.3900146484375,1.0
2021-10-21,514.1500244140625,1.0
2021-10-22,515.4099731445312,1.0
2021-10-25,522.0700073242188,1.0
2021-10-26,533.8699951171875,1.0
2021-10-27,523.1099853515625,1.0
2021-10-28,529.5700073242188,1.0
2021-10-29,531.6699829101562,1.0
2021-11-01,528.0499877929688,1.0
2021-11-02,537.0700073242188,1.0
2021-11-03,542.3699951171875,1.0
2021-11-04,548.6199951171875,1.0
2021-11-05,558.9199829101562,1.0
2021-11-08,558.9500122070312,1.0
2021-11-09,557.7999877929688,1.0
2021-11-10,548.77001953125,1.0
2021-11-11,555.4000244140625,1.0
2021-11-12,563.219970703125,1.0
2021-11-15,565.77001953125,1.0
2021-11-16,568.77001953125,1.0
2021-11-17,569.6400146484375,1.0
2021-11-18,574.8099975585938,1.0
2021-11-19,568.719970703125,1.0
2021-11-22,553.280029296875,1.0
2021-11-23,555.1199951171875,1.0
2021-11-24,558.72998046875,1.0
2021-11-26,546.5900268554688,1.0
2021-11-29,564.3400268554688,1.0
2021-11-30,553.6799926757812,2.0
2021-12-01,554.760009765625,2.0
2021-12-02,552.4500122070312,2.0
2021-12-03,558.1199951171875,2.0
2021-12-06,564.97998046875,2.0
2021-12-07,590.4000244140625,2.0
2021-12-08,588.5599975585938,2.0
2021-12-09,583.4199829101562,2.0
2021-12-10,631.6799926757812,1.0
2021-12-13,621.6599731445312,2.0
2021-12-14,614.9099731445312,2.0
2021-12-15,639.8599853515625,2.0
2021-12-16,620.6799926757812,1.0
2021-12-17,634.9600219726562,2.0
2021-12-20,645.030029296875,2.0
2021-12-21,646.239990234375,2.0
2021-12-22,655.2000122070312,2.0
2021-12-23,664.7999877929688,2.0
2021-12-27,674.280029296875,2.0
2021-12-28,669.0,2.0
2021-12-29,672.6099853515625,2.0
2021-12-30,665.0800170898438,2.0
2021-12-31,665.4099731445312,2.0
2022-01-03,663.3200073242188,2.0
2022-01-04,670.9199829101562,2.0
2022-01-05,643.0,2.0
2022-01-06,637.030029296875,2.0
2022-01-07,619.1500244140625,2.0
2022-01-10,621.1599731445312,2.0
2022-01-11,622.0499877929688,2.0
2022-01-12,622.0,2.0
2022-01-13,597.1900024414062,2.0
2022-01-14,596.3699951171875,2.0
2022-01-18,577.7899780273438,2.0
2022-01-19,563.969970703125,0.0
2022-01-20,547.719970703125,0.0
2022-01-21,533.22998046875,0.0
2022-01-24,541.5800170898438,0.0
2022-01-25,534.1400146484375,0.0
2022-01-26,557.1199951171875,0.0
2022-01-27,542.3099975585938,0.0
2022-01-28,560.0999755859375,0.0
2022-01-31,585.8800048828125,0.0
2022-02-01,592.719970703125,0.0
2022-02-02,603.4299926757812,0.0
2022-02-03,580.8499755859375,0.0
2022-02-04,590.1599731445312,0.0
2022-02-07,587.6300048828125,0.0
2022-02-08,600.219970703125,0.0
2022-02-09,611.3400268554688,0.0
2022-02-10,591.3599853515625,0.0
2022-02-11,573.4199829101562,0.0
2022-02-14,578.5800170898438,0.0
2022-02-15,602.77001953125,0.0
2022-02-16,597.2100219726562,0.0
2022-02-17,579.0,0.0
2022-02-18,579.989990234375,0.0
2022-02-22,577.4600219726562,1.0
2022-02-23,565.1900024414062,1.0
2022-02-24,580.0,1.0
2022-02-25,588.010009765625,1.0
2022-02-28,587.4400024414062,1.0
2022-03-01,570.1199951171875,1.0
2022-03-02,585.780029296875,1.0
2022-03-03,578.5999755859375,1.0
2022-03-04,595.989990234375,1.0
2022-03-07,570.7000122070312,1.0
2022-03-08,575.9500122070312,1.0
2022-03-09,597.02001953125,1.5
2022-03-10,587.72998046875,1.5
2022-03-11,577.8499755859375,1.5
